Aquation of trans-[Co(en)2Cl2]+,,,,wavelength in nm,,time in minutes,,40 C,Co=6mm,H+=0.1M HNO3,,I=0.4M KNO3,,,,,,,,
wavelength,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285
419,0.082151,0.080738,0.080057,0.078612,0.077728,0.077153,0.07617,0.075424,0.074577,0.073695,0.072992,0.07227,0.071482,0.070778,0.070066,0.069226,0.068635,0.067994,0.067138,0.066577
420,0.081231,0.079875,0.079138,0.077784,0.076912,0.076295,0.075276,0.074462,0.073652,0.072765,0.07191,0.071227,0.070432,0.069788,0.068953,0.068302,0.067562,0.066989,0.066192,0.065529
421,0.080344,0.07893,0.078294,0.07681,0.075969,0.075316,0.074357,0.073432,0.072582,0.071854,0.070919,0.070229,0.069445,0.068933,0.068061,0.06731,0.066596,0.065988,0.065233,0.064635
422,0.079501,0.078066,0.077388,0.075874,0.075134,0.074528,0.073413,0.072572,0.07167,0.070927,0.070109,0.06933,0.068679,0.067942,0.067154,0.066456,0.065802,0.065156,0.064501,0.063821
423,0.078768,0.077322,0.076649,0.075134,0.074325,0.073636,0.072583,0.071954,0.070923,0.070218,0.069276,0.068597,0.067865,0.067219,0.066345,0.065655,0.065077,0.064311,0.063586,0.063075
424,0.077904,0.076663,0.07596,0.074355,0.073591,0.072989,0.071865,0.071093,0.070196,0.069328,0.068523,0.067892,0.067052,0.066516,0.065654,0.065086,0.064405,0.063723,0.062905,0.062419
425,0.077263,0.07588,0.075221,0.073722,0.072902,0.072351,0.071288,0.070414,0.069491,0.068721,0.067924,0.067228,0.066447,0.0658,0.065032,0.064471,0.063711,0.063186,0.062279,0.061907
426,0.076597,0.075268,0.07462,0.073042,0.072292,0.071684,0.0706,0.069796,0.069008,0.068207,0.067268,0.06664,0.065865,0.065287,0.064492,0.063868,0.063185,0.062585,0.061888,0.061417
427,0.075921,0.07453,0.074005,0.072451,0.071645,0.071079,0.070112,0.069287,0.06839,0.067564,0.066798,0.066129,0.065404,0.064802,0.064074,0.063436,0.062778,0.062103,0.061471,0.061141
428,0.075406,0.073999,0.073436,0.072035,0.071098,0.07045,0.069595,0.06875,0.067852,0.067237,0.066314,0.06568,0.06506,0.064409,0.063511,0.063011,0.062385,0.061787,0.061097,0.060787
429,0.074839,0.073503,0.072805,0.071416,0.070748,0.070088,0.069057,0.068312,0.067535,0.066792,0.065939,0.065287,0.064626,0.064091,0.063361,0.062648,0.062092,0.061594,0.060898,0.060435
430,0.074483,0.073071,0.07249,0.071024,0.070212,0.069751,0.068684,0.067952,0.06699,0.066361,0.065615,0.064998,0.064353,0.063701,0.062965,0.062477,0.061857,0.061357,0.060748,0.060336
431,0.073982,0.072661,0.072015,0.070577,0.069826,0.06923,0.068362,0.067761,0.066803,0.066144,0.065433,0.064771,0.064113,0.063638,0.062888,0.062294,0.061748,0.061216,0.060681,0.060146
